month,US unemployment
2011-01,9.1
2011-02,9
2011-03,9
2011-04,9.1
2011-05,9
2011-06,9.1
2011-07,9
2011-08,9
2011-09,9
2011-10,8.8
2011-11,8.6
2011-12,8.5
2012-01,8.3
2012-02,8.3
2012-03,8.2
2012-04,8.2
2012-05,8.2
2012-06,8.2
2012-07,8.2
2012-08,8.1
2012-09,7.8
2012-10,7.8
2012-11,7.7
2012-12,7.9
2013-01,8
2013-02,7.7
2013-03,7.5
2013-04,7.6
2013-05,7.5
2013-06,7.5
2013-07,7.3
2013-08,7.3
2013-09,7.3
2013-10,7.2
2013-11,6.9
2013-12,6.7
2014-01,6.6
2014-02,6.7
2014-03,6.7
2014-04,6.2
2014-05,6.2
2014-06,6.1
2014-07,6.2
2014-08,6.2
2014-09,6
2014-10,5.7
2014-11,5.8
2014-12,5.6
2015-01,5.7
2015-02,5.5
2015-03,5.5
2015-04,5.4
